tripduration,starttime,stoptime,start station latitude,start station longitude,end station latitude,end station longitude,bikeid,usertype,birth year,gender
266,53:29.0,57:55.1,40.71848892,-74.04772663,40.71958612,-74.04311746,29572,Subscriber,1990,1
306,03:56.6,09:03.2,40.71848892,-74.04772663,40.71958612,-74.04311746,29515,Subscriber,1977,1
255,12:03.1,16:18.9,40.72163014,-74.04996783,40.7177325,-74.043845,29474,Subscriber,1994,1
573,29:21.2,38:54.7,40.72528911,-74.04557168,40.7287448,-74.0321082,29553,Customer,1987,2
313,42:02.6,47:15.9,40.71649,-74.04105,40.71653978,-74.04963791,29243,Subscriber,1991,2
524,47:43.4,56:27.7,40.71687,-74.03281,40.7287448,-74.0321082,26296,Subscriber,1980,1
349,00:21.6,06:11.4,40.7308971,-74.06391263,40.7192822,-74.07126188,26263,Subscriber,1988,1
84,06:00.0,07:24.9,40.7183552,-74.03891444,40.7211236,-74.03805095,26163,Subscriber,1990,1
873,06:22.3,20:55.8,40.72759597,-74.04424731,40.71435837,-74.06661093,29556,Subscriber,1994,1
720,09:38.1,21:38.9,40.7287448,-74.0321082,40.71942,-74.05099,29553,Subscriber,1994,2
180,12:48.8,15:49.6,40.72759597,-74.04424731,40.72165072,-74.04288411,29616,Subscriber,1985,1
176,12:56.2,15:52.3,40.72759597,-74.04424731,40.72165072,-74.04288411,29623,Subscriber,1982,2
898,14:05.5,29:04.4,40.71458404,-74.04281706,40.72572614,-74.07195926,29591,Customer,1969,0
196,18:25.4,21:41.5,40.72163014,-74.04996783,40.72601173,-74.05038893,29447,Subscriber,1985,1
432,19:35.1,26:47.3,40.72568548,-74.04879034,40.7211236,-74.03805095,29484,Subscriber,1988,2
355,24:15.7,30:11.2,40.7211236,-74.03805095,40.7287448,-74.0321082,26295,Subscriber,1990,1
229,28:29.2,32:18.9,40.72601173,-74.05038893,40.72152515,-74.04630454,29447,Subscriber,1985,1
194,37:17.8,40:31.8,40.7308971,-74.06391263,40.72533993,-74.06762213,26195,Subscriber,1966,1
499,52:11.2,00:31.1,40.737711,-74.066921,40.72572614,-74.07195926,29444,Subscriber,1991,1
967,55:56.4,12:03.6,40.7272235,-74.0337589,40.74267714,-74.05178863,29469,Subscriber,1990,1
1865,00:01.3,31:07.3,40.72568548,-74.04879034,40.72568548,-74.04879034,29492,Subscriber,1991,1
357,14:45.0,20:43.0,40.72210379,-74.071455,40.7308971,-74.06391263,29440,Subscriber,1986,1
316,28:24.2,33:41.1,40.7287448,-74.0321082,40.7242941,-74.0354826,29611,Subscriber,1983,2
325,38:14.8,43:40.0,40.71958612,-74.04311746,40.72568548,-74.04879034,29620,Subscriber,1986,2
864,38:44.6,53:09.5,40.7308971,-74.06391263,40.7236589,-74.0641943,29295,Subscriber,1975,1
